Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation,States,Counties
2020,WI,Wisconsin,Jackson,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,7.9,,,7.2,8.7,20630,55053,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-90.7995104 44.3245897),41,874
2019,WI,Wisconsin,Jackson,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,35.5,,,34.3,36.7,20630,55053,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,28.1,,,26.7,29.5,20630,55053,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,6.1,,,5.6,6.7,20630,55053,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,32.4,,,30.8,33.9,20630,55053,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,23.5,,,21.1,26.0,20630,55053,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Age-adjusted prevalence,33.2,,,26.6,40.8,20630,55053,PREVENT,COREW,AgeAdjPrv,Core preventive services for older women,POINT (-90.7995104 44.3245897),41,874
2019,WI,Wisconsin,Jackson,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,75.4,,,74.2,76.5,20630,55053,PREVENT,BPMED,CrdPrv,Taking BP Medication,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,3.7,,,3.3,4.2,20630,55053,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,20.7,,,19.6,21.8,20630,55053,HLTHOUT,DEPRESSION,CrdPrv,Depression,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,63.3,,,60.1,66.6,20630,55053,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Age-adjusted prevalence,10.1,,,9.6,10.6,20630,55053,HLTHOUT,CASTHMA,AgeAdjPrv,Current Asthma,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,58.7,,,55.0,62.1,20630,55053,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,11.7,,,10.6,12.9,20630,55053,HLTHSTAT,PHLTH,CrdPrv,Physical Health,POINT (-90.7995104 44.3245897),41,874
